timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
18212,BA_LEFT_CLICK,0,0.15844659609620185_0.8418918358714107_-0.026867287394101092,0.21447742406077128_0.8429481935742689_-0.03085485870335848,0.270662954698915_0.7833727430340905_-0.03566302898061927,0.30077740185178803_0.7131716119282051_-0.041721080183664834,0.3247394677191433_0.6625341404981937_-0.03874181068328565,0.27562015649104066_0.6624628265897228_0.0053618624256883424,0.30454073475178306_0.6053453839534464_-0.0024545456797338654,0.32083764613428234_0.5730372917377573_-0.015575702975735597,0.3343185505252172_0.5469211939472267_-0.04769473215465843,0.25269426700540965_0.6258019960359889_0.009044642570514958,0.28559323674664755_0.5507102228470483_-0.00029997632687379233,0.30754346637427754_0.5061599919512241_-0.01795161880869539,0.32791903547520795_0.4703408298779272_-0.042278674491258
18250,BA_LEFT_CLICK,0,0.15923165760854413_0.8422077741170505_-0.026303595432992516,0.21533166506725107_0.8436624846651707_-0.030315089422022115,0.271553819378944_0.7851059660146443_-0.035065089007478206,0.3019239575284123_0.7157835449403608_-0.04128068144296001,0.3256766292404697_0.6651507560020706_-0.03855245595286327,0.2763095569326397_0.6634636132081186_0.005466723398115982,0.30527916849753245_0.6067376857371285_-0.002232119705713362,0.3216931457579813_0.5743031344194112_-0.015123492273128456,0.33517156410066995_0.548025822917486_-0.047062777503530974,0.2534925246005741_0.6268605952609505_0.00901132003299354,0.28647345524013723_0.5519340449387105_-0.0001965888801025495,0.30836695026159244_0.5073139794122672_-0.017664731981904283,0.3286498183574308_0.47131560785680954_-0.041726971465755734
18278,BA_LEFT_CLICK,0,0.1601249206655783_0.8426756140346988_-0.024755555792137573,0.21593059511055596_0.8449341409837846_-0.029143760659340868,0.2721824268505826_0.7874539911611723_-0.0341009651345104,0.3028937495245456_0.7190708466868468_-0.04079629643896731,0.3266049518546713_0.6685420825963038_-0.0386734428811871,0.2770547089349362_0.6643457339731722_0.005410183632967273,0.30594312787930955_0.607194779346081_-0.002248455795793987,0.32225683413034134_0.5745445244613407_-0.014981345965414387,0.33561217083810735_0.5481225898105819_-0.0468697373264637,0.2542825920395444_0.627779632023885_0.00887329109674262,0.28730462965155196_0.5528937191815593_-0.00026817448638337014,0.3092156258487698_0.5082382184228497_-0.017712059273362935,0.3294364567252818_0.47240583930897667_-0.041631673612919834
18316,BA_LEFT_CLICK,0,0.1606861355776439_0.8444131395622623_-0.023052566968190347,0.21611603129760465_0.8472819251565651_-0.027855712718203744,0.2723058756197178_0.7904783105742016_-0.03324700929499388,0.30332287482372283_0.7231690127452906_-0.040647840314225456,0.3270639872043334_0.6730526649860397_-0.03927387081057254,0.2778512273129728_0.6660242379925941_0.005365564258573373,0.30660450173124304_0.6090889319020052_-0.002357921769737607,0.32293285196690125_0.5763659042599296_-0.014976563113092695,0.336264199370376_0.549862949072434_-0.04701693746992798,0.25507752760349833_0.6293893927033061_0.008769354423209563,0.28805376074142897_0.5548278737903769_-0.0003441990630027227,0.3099061951847074_0.5105769333808579_-0.01783318581504884,0.3300777598740915_0.47508989838352167_-0.041762361795685606
18346,BA_LEFT_CLICK,0,0.16130201839406094_0.8453844611966238_-0.021079599338998535,0.21678755703652733_0.8487127481101764_-0.02649780644689805,0.27300016252237036_0.7930433087262375_-0.032338929476552966,0.3039350158528595_0.7266053310076949_-0.04056844726253836,0.3276741222929162_0.6768465490267956_-0.039945764600995574,0.27903628022646165_0.6674151421564655_0.00507738050355746,0.3078520811613769_0.6104267393936744_-0.0026999363466258097,0.32408989481662404_0.5782439241792755_-0.015330240275191717,0.33731660155791576_0.5522448047154058_-0.04762168541390778,0.25617180001019735_0.630700518583879_0.008586925725400079,0.2891535836969029_0.5564518252087542_-0.0006172708643433708,0.3109839702297209_0.5125843999838001_-0.018590132493362926,0.3310485362626918_0.4777678415583798_-0.04278662393171145
18379,BA_LEFT_CLICK,0,0.16167410868802706_0.8463796238202751_-0.02019261825341395,0.21719402887888617_0.8501792834757815_-0.025766862203397804,0.2735147867046791_0.7957001990249049_-0.03195651555237274,0.30451625160822143_0.7300813834699438_-0.04065098953286242,0.3282415522250495_0.6804007411898203_-0.04043721716385158,0.27998502589206103_0.669436359483229_0.005014058800810446,0.3088418358180023_0.6129307631961529_-0.002844503952197651,0.325010295808591_0.5809351905175842_-0.015477155264796778,0.3381360463964028_0.554912465743455_-0.04791430932155515,0.25715628251456657_0.6323098817631604_0.008512683056997958,0.29020709423337077_0.5584048731385001_-0.0006952550588414874,0.3119390364208983_0.5148468349818521_-0.018789795616138857,0.3318285369569308_0.48040611866372657_-0.04302305849137746
18412,BA_LEFT_CLICK,0,0.1620802315743688_0.8468020566383124_-0.01973514613118499,0.2175233131127983_0.851144908790513_-0.02547950567382054,0.2739711656922498_0.7982286863462362_-0.03169684953830323,0.3052211727495898_0.7335264953639067_-0.0407621872785841,0.3288198672225445_0.6839358545065743_-0.04078344949707248,0.2807460012987471_0.6711173129703418_0.004972781719584362,0.3096095115830975_0.6149033096879344_-0.0028598165974079927,0.3257969408037484_0.5830840670258839_-0.015579942557479513,0.33882352651493414_0.5574750804362557_-0.048139525865485394,0.25798177111167464_0.6336804373395445_0.008444004753794435,0.2912256409972008_0.5597182594345672_-0.0006524044536245511,0.3128810509617461_0.5163189915374227_-0.018926803333655106,0.33265180180027065_0.4820350394507872_-0.043094945921443646
18446,BA_LEFT_CLICK,0,0.16235434672609356_0.846821094201336_-0.019612938019488095,0.21791680379529238_0.851653145889222_-0.025371537280698433,0.27453039524987527_0.7999240678895501_-0.03159867602460926,0.3061904510494796_0.7361239769193297_-0.04092089036012925,0.32946721017284153_0.6865011840439497_-0.040897982904313866,0.2815844085180932_0.6724176583787453_0.0049851117386969694,0.3104908300153794_0.6164610336184201_-0.0028666710031079743,0.3267084311487055_0.5850017351461283_-0.015858890816184343,0.3396744127379788_0.5600310844944208_-0.04854877763189485,0.25884661784186963_0.6346366797552111_0.008359630082699588,0.2921318165659186_0.56031594932927_-0.0005478128403578319,0.31371006843052973_0.5169828412974126_-0.018975325177586162,0.333417350368134_0.4829451192109288_-0.0430282874695005
18483,BA_LEFT_CLICK,0,0.16271457104981255_0.84684664777623_-0.019197910907152366,0.21824155627742958_0.8517206089812751_-0.02507688158561374,0.27481828878748565_0.8011536059656928_-0.03145855965513663,0.30670965716335996_0.7384068233277612_-0.04096278954669028,0.3298847520345287_0.6887618374329136_-0.041144045264720014,0.28230258555127574_0.6731578491608821_0.004815141090119105,0.31107576948105353_0.6170651396083591_-0.0030329648790397242,0.3270221790505868_0.5857643709622091_-0.016151797288348247,0.3396787043656455_0.5612483845366073_-0.04910382855492918,0.2595967468453646_0.6352572039497377_0.008249736914756244,0.2929301661013982_0.560925243384467_-0.0005412754106644089,0.31424397608918087_0.5178499601717191_-0.019172051748018334,0.33374175573701215_0.48418708234536656_-0.043386912249846615
