participant_id,timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,label
0,10460,BA_LEFT_CLICK,0,0.2461697744753971_0.8592879717891886_-0.008519566118635623,0.31834871742453663_0.8603959786334096_-0.012285769388655011,0.38791847592092465_0.8322303243135487_-0.008195636719766815,0.4379215321340166_0.7972403612116093_-0.0023103030757622867,0.47916619338323235_0.7699819178231343_0.012268913732965046,0.3736711456624557_0.5972199214445197_0.009371257069920695,0.41328634054944546_0.504835294681057_0.0038382406476112716,0.4384882712079755_0.4520949371777824_-0.005135198489896499,0.4629471402289931_0.40769598705213406_-0.03454945119914784,0.3411209927743566_0.5555213859960443_0.007204478142903549,0.37491282075213406_0.4401995403986716_-0.004518544085851563,0.4012185953071596_0.3770821025079036_-0.02740882503973459,0.4263896956943547_0.3335008688474545_-0.04888939358062981,NONE
0,10494,BA_LEFT_CLICK,0,0.2521957745096695_0.8585456923918307_-0.006833464252883505,0.32367865183612893_0.8601218666584062_-0.0111964094881846,0.39257657222347986_0.8324636775378446_-0.007918725848439185,0.44205016544644055_0.7974868533117863_-0.0035529516924633145,0.4825825441497927_0.7688228941637504_0.00977758304039578,0.3794401001332513_0.5986820755757208_0.009176219000987368,0.41843091632116347_0.5072026626247285_0.003286467130420408,0.4432805330525773_0.4552247244614642_-0.0057509909519132315,0.4675759336092046_0.41152942834409983_-0.03530998583791553,0.34715901984738445_0.5572484867799287_0.007044137643374047,0.38073080181731395_0.44351258980604363_-0.004930093712036811,0.40692048843788164_0.38138845603510096_-0.02778220012177638,0.43215528248970314_0.33845221342284276_-0.049463405190050116,NONE
0,10527,BA_LEFT_CLICK,0,0.258446501886178_0.8581412328303957_-0.007248708882279644,0.32928469330995236_0.860054747736515_-0.011239128668676495,0.39754560941376316_0.8332596507171044_-0.007984610748484014,0.4463434271111808_0.7979513499818875_-0.003699744366742258,0.48584188609269185_0.7669444327893438_0.009514313823063695,0.38488035888658456_0.6010941027289483_0.009246327078002419,0.42346383877745086_0.5107402504267786_0.0033268028580648117,0.4481987536725154_0.45971639899399136_-0.005713457997526832,0.47252783463303016_0.4170461706965201_-0.035326289086802,0.35307533680571823_0.5597202052297596_0.00704918891318404,0.38671527027808517_0.44723860706784213_-0.0049102453998128605,0.4129504229711458_0.3861102465060898_-0.027552047545827327,0.43836814259866563_0.3440968222748343_-0.049183940075349424,NONE
0,10561,BA_LEFT_CLICK,0,0.2645830827516945_0.8578216229296608_-0.008601200503784379,0.3348023021294988_0.8600880992222321_-0.011727883306797887,0.40251598639423075_0.8341241905291279_-0.008016910038148785,0.45093455132601434_0.7990181878155577_-0.0029784502570923844,0.48955668281671944_0.7656873659565117_0.010506630449358245,0.3898655433749079_0.603661196127403_0.009548811690535328,0.4283201595000491_0.514266049924095_0.0037575851149163576,0.4531564379355709_0.46427529214212304_-0.005289973923274762,0.47765749324086326_0.4226014584421343_-0.03481725311220741,0.35872341703711913_0.5624065295555118_0.007137845800342269,0.39265016889351917_0.4508743626745374_-0.0045441387980302205,0.41925611226455095_0.39060140874127935_-0.02685997917264056,0.4450383313129719_0.3495520752534154_-0.04831603283287018,NONE
0,10596,BA_LEFT_CLICK,0,0.270296205485871_0.8582859829598176_-0.011486712632718055,0.3400164325296336_0.8601438674774561_-0.013179040561244127,0.4071162830442939_0.8341709358850639_-0.00809257299244835,0.45558292839334624_0.7993063080267993_-0.0010652591375586735,0.4937084537439151_0.7645830668031427_0.013842037724545495,0.3941900459364986_0.605375958835974_0.010274425507804696,0.43275692263063315_0.5169572878381408_0.0048899697476070675,0.45801168995073643_0.46873975323350436_-0.004303392953641324,0.4828419536648037_0.42911222339623983_-0.03401834731055145,0.36385856875847955_0.5647028244096378_0.007381737283684499,0.3982735429269339_0.45435400349869975_-0.003945711166788739,0.42555947207368_0.39528947850974716_-0.02611582653927288,0.4519610983236929_0.3557354411971476_-0.04740168245316291,NONE
0,10628,BA_LEFT_CLICK,0,0.2753683602054998_0.8588916695541945_-0.014519297908260322,0.3448358419942422_0.8598118522522286_-0.014678352364003847,0.41147553647762575_0.8343515978939948_-0.00808618522119867,0.46003596523130913_0.7995214500392983_0.0009973754812814914,0.49769498679579127_0.7629048472260835_0.017511235799066938,0.3975559852469711_0.606937943582451_0.011034375716226057,0.43639333803507907_0.5195052304665881_0.00616989957995745,0.46235208763258623_0.4727477949993707_-0.00305996090131371,0.4877416730163767_0.43494790602488376_-0.032759440161807096,0.3679928684955532_0.5669783239808353_0.007615750882977396,0.40273230108120167_0.45743483339130603_-0.0032951035389340738,0.430560418788247_0.39960679833819324_-0.02529373111095017,0.4575761900031011_0.3615543466005251_-0.046321124567037776,NONE
0,10662,BA_LEFT_CLICK,0,0.2796573440424669_0.8585940389972375_-0.016165017648946362,0.34896059778591504_0.858823784093653_-0.015451391667604598,0.4153411128139976_0.8342538107782697_-0.008015492013552564,0.463985807011326_0.8000775367709406_0.0023576660219461225,0.500499501018054_0.7606325702361586_0.01937886943473237,0.4006090706148743_0.6080864538230226_0.011664546063722575,0.4393829306686181_0.5207857949575295_0.007128975710928698,0.4657759829646505_0.4748914299120027_-0.0020915620025584603,0.49154203655229206_0.43831510391841777_-0.0314278118554932,0.3716027720551248_0.5684925941822269_0.00781989115790856,0.40655706193048263_0.4594885828843095_-0.0027214128406077083,0.4348404000788154_0.4025277529138713_-0.02458376063319831,0.4622284210271391_0.3659411248519838_-0.045461503254132236,NONE
0,10695,BA_LEFT_CLICK,0,0.28303322396215347_0.8577915739330806_-0.017439783763417496,0.35221866724698153_0.8573054257238665_-0.01586718966999066,0.4187011808567431_0.8331425849080162_-0.007613322894937816,0.467522107608954_0.7989104819848067_0.0037221197894120616,0.5024916046367699_0.7566901530021288_0.0213104446335937,0.40286902948689457_0.6084554330092848_0.01224706393971555,0.44134910509779124_0.5208112250201313_0.007997992175150124,0.4680000793366557_0.47526978712952284_-0.0010825042423875733,0.49397036649311543_0.4392018997431632_-0.030056780596111783,0.3743456171973988_0.5690775297639639_0.007944439869652844,0.40967865082421706_0.46005344174308604_-0.002103555789091544,0.43851042712443844_0.4031252947631191_-0.02370414136578869,0.46638360313946037_0.3667272171938277_-0.044388056863750434,NONE
0,10727,BA_LEFT_CLICK,0,0.28559833925196765_0.8574754366328842_-0.019356330654246724,0.35458341406034155_0.8558162477179178_-0.016740786416835882,0.4214119387001345_0.8316753437900605_-0.007274132379823545,0.4699664537492116_0.7967004642926795_0.005537709364168199,0.5032911390866133_0.751690299128998_0.02407241142625057,0.40406148325977326_0.6084557402596618_0.012973008135910928,0.44215632165109375_0.520518644685142_0.008933055927219557,0.4690645536922555_0.4753596545193684_7.562780401932365e-05,0.4953206198813515_0.4398946828652093_-0.028454813674715813,0.3759423805892026_0.5693225687788225_0.008109490466340904,0.4110940261109575_0.46034611886344773_-0.001468352846700634,0.44004628201098267_0.40350236989519683_-0.022811454524439424,0.4680922364582541_0.3672992878408319_-0.04281309630028837,NONE
0,10761,BA_LEFT_CLICK,0,0.28746715316159915_0.8565797145406824_-0.020299300389467173,0.35670752657450616_0.8539389989029414_-0.017026736246353227,0.4235503015780886_0.8297082607574513_-0.007088154680676158,0.4722458819057719_0.7944720996255193_0.006432584042447688,0.5038086963339878_0.7466665274425417_0.02507568519778604,0.4049975470032502_0.6079298558605309_0.013444174392983198,0.4428268308213175_0.5195538155512752_0.00954136085896696,0.4698902230376515_0.47492707259925937_0.0006642764331644946,0.49624772806183476_0.4399762683716352_-0.027612818432353064,0.37721985090729043_0.5691231589354115_0.008182129140972712,0.41249602543702957_0.4599414716212148_-0.0008989139377265656,0.4418459426543794_0.4029221852418716_-0.022075377992663264,0.47019306106487296_0.366771268308249_-0.042041632616936636,NONE
0,10794,BA_LEFT_CLICK,0,0.28896613819585953_0.8556086846383748_-0.021617087592266795,0.35826716886359355_0.8517241375645834_-0.01753757360125052,0.4253250072689406_0.8268374899726908_-0.006803828578906771,0.4739363153383077_0.7908216248221807_0.007719953747668172,0.5042320642983305_0.7408848100125051_0.027004915447771987,0.4055162763854828_0.6064566972074983_0.013958040129315757,0.4431385226862289_0.5175544780315353_0.010227941134683335,0.47040252772287633_0.47315273672320635_0.001398967496295466,0.4968522106744129_0.4385852880165526_-0.026649355910223427,0.37797680702969594_0.5680343708067765_0.008278361162566836,0.41310477461331085_0.4584039767621513_-0.00037172100775953,0.4425733062570637_0.40116120138143985_-0.021346989744403744,0.47093749271328755_0.36474858717925307_-0.04115861005339581,NONE
0,10828,BA_LEFT_CLICK,0,0.29074706755627566_0.8537205082728336_-0.02240717192060375,0.35967961205162924_0.8490798629920354_-0.017724092503742114,0.4269413240982336_0.8229597886166415_-0.006483211598171804,0.4754655448281718_0.786295948844561_0.008625733269912644,0.5046335819653978_0.7350579614018803_0.02822501299519574,0.4062276976315949_0.6042270542953871_0.014402180513677521,0.44357132735384763_0.5152428040362512_0.010521452255338069,0.4708581478382437_0.47115257573110414_0.0016308582657493702,0.49739788096247345_0.4371333533037145_-0.026428534108004335,0.3788955585731281_0.5661180059647267_0.00835326825412011,0.4140128867301385_0.45639486472118346_-0.00015687226719471507,0.44360664867920446_0.3991027832696874_-0.02080644496162636,0.47214462341066604_0.36235163606649207_-0.04040849881771054,NONE
0,10861,BA_LEFT_CLICK,0,0.2924691368941416_0.8509288845502433_-0.022867591417365263,0.3612391909211344_0.8457762366613285_-0.01766637967058479,0.4287326843129192_0.8188134614436978_-0.006208392565547637,0.47708644371699915_0.7812314974637103_0.009173673819432772,0.5053626229995338_0.7284642310599808_0.02897470067134885,0.40708102361430915_0.6008719111899108_0.014694307427356659,0.44430497743712477_0.5117597432499819_0.010712612670492836,0.4717184890099596_0.4677220955847307_0.001815963334553842,0.49842607673882033_0.43412689872649823_-0.026332037462871365,0.3799086870013248_0.5631225856570963_0.00843865162993984,0.4148757280089887_0.4534703064784086_-9.125494533231016e-05,0.4446489841426434_0.3960217524107329_-0.020471303287187444,0.47344692731854443_0.3588610072727646_-0.03994117619516727,NONE
0,10894,BA_LEFT_CLICK,0,0.2943728152755062_0.8469466780061004_-0.023225530474609526,0.36281365436311297_0.8413908653323283_-0.017511077769823545,0.4305140245426968_0.8136007455038352_-0.005854191450356811,0.47869769057807626_0.7751374759174405_0.009687311395748549,0.5065673772997736_0.7215692402251819_0.02984645064823936,0.40799320400611716_0.5966996356184936_0.014868322357138013,0.44527987009705394_0.5076194347195381_0.010764120719299086,0.4729340484768733_0.46361889842022297_0.0019858068102307355,0.49985996243857217_0.4304286122963231_-0.02625542576239991,0.3809977520512399_0.559201181127911_0.008505571963811054,0.41613791951961776_0.449535037583087_-5.5809506364267316e-05,0.44624857550343056_0.3916972806879705_-0.019972733058960617,0.4753703887061844_0.35385808982814515_-0.039249783292788484,NONE
0,10928,BA_LEFT_CLICK,0,0.2963413027002939_0.8422714523024939_-0.023059552502017334,0.36453182921406213_0.8366070407918637_-0.017136261302811047,0.4324055328742088_0.8073820207156597_-0.00558744535293529,0.48019784944198374_0.7679525310116625_0.009854271566664453,0.5079056051975155_0.7141244531733402_0.0301288294486452,0.40954342413629025_0.591034468359602_0.014926866864840202,0.44690654569006993_0.5020425749820514_0.010645081560981566,0.4747138350034225_0.4580959153403349_0.0019176154036289245,0.5017076520721346_0.4253581190622172_-0.026471837422263528,0.382581541856675_0.5537105681056064_0.008543926741619218,0.41755054052215784_0.4440579855489525_-0.00023712590423234403,0.4476811762291605_0.38610703395436813_-0.019845758993173743,0.476818511072522_0.34800592572184536_-0.039085279333892047,NONE
0,10962,BA_LEFT_CLICK,0,0.2981271586477382_0.8370529454189605_-0.024380268129810586,0.3662161642360416_0.8312646165125803_-0.01780836319015991,0.43412683723572265_0.7997911360770749_-0.005950666788787441,0.4816169401561566_0.7590988631500892_0.010018099491433521,0.5098788044934006_0.7062296605954654_0.031021920060495447,0.4111179405743673_0.584824630695067_0.015076067487939208,0.4485877763679587_0.4958424256644284_0.010797221431074377,0.4766446434517279_0.4519024787131554_0.0021199143389038872,0.5037790607293631_0.41935343937208824_-0.026307875661859437,0.3841900904341925_0.5476586605353579_0.00867803784733161,0.4192110590580461_0.43804939937971377_-0.00017420202562815429,0.44954555834439713_0.37979336298807953_-0.01941292394697277,0.47877511515913457_0.3413037281091383_-0.03853102559113707,NONE
0,10994,BA_LEFT_CLICK,0,0.2996330850648581_0.8318118485798889_-0.02614234206923238,0.36756514025113796_0.8260181200212825_-0.01891332892645654,0.43575332020285423_0.7918866345811117_-0.006478550889945664,0.4829735962991196_0.7492898627483124_0.010123326197970885,0.512303022709253_0.6982311993320852_0.0320593990607102,0.41255234434563276_0.57813418632943_0.015276873263155627,0.45024674029755307_0.489037035815051_0.011062994773338506,0.4785074538437188_0.4451003490117078_0.0024726001091140617,0.5056946810786077_0.4126608482689108_-0.02589223265553278,0.38568076526040945_0.5409729667698087_0.008828277652662156,0.4207450085833357_0.43119303665465_2.8392671985574738e-05,0.4512211172191884_0.37254576855742527_-0.01878617582320856,0.4804403792595709_0.333518641857733_-0.037637628390504566,NONE
0,11027,BA_LEFT_CLICK,0,0.30120053238294114_0.8264705803386732_-0.027919447464532787,0.3690551162750071_0.8207015475993624_-0.020012574120913007,0.4375052845840669_0.784006994527835_-0.007017730958347828,0.4845983790114942_0.738826638409557_0.010096408975687804,0.5151143893931409_0.6884551119391179_0.03294925810679113,0.4138854583450823_0.5711404262081669_0.01539460998967108,0.4516511650213219_0.48199930104583966_0.011337922652681883,0.48023585251551154_0.43823103056167645_0.002801656835662374,0.5075909921887835_0.4062460988116619_-0.02559517854376445,0.3870215895566552_0.5340233594731285_0.008977605551144408,0.4220485038721312_0.42381203001265433_0.00021638750985713656,0.4526861320661375_0.3648122467505423_-0.01830558083533992,0.4820561298351165_0.3253647944676317_-0.03689037543464792,NONE
