timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
21432,BA_LEFT_CLICK,0,0.22879897515506067_0.7583621874216646_-0.012366987874373818,0.29386965211435384_0.7182160362844987_0.0002865010235749187,0.3547718913082507_0.6510669273031638_0.014494752827652932,0.40153796711968837_0.6086120410782468_0.03661158504946672,0.4450304957897621_0.5785650659513546_0.06486078833322276,0.30586116748935055_0.44039856428214813_0.019393562687412942,0.34601468922766254_0.33438870848589297_0.017544164514175196,0.38031193152701703_0.2947449884605866_0.009304498746769169,0.4122394143232207_0.27027995473209615_-0.01870068491189143,0.2780575761299203_0.43011822627117285_0.00890735538828714,0.3234416872378868_0.3093214644531779_-0.005286945359972975,0.36643880130313333_0.27958086309828417_-0.022806232954528872,0.404398873071218_0.2761829229542781_-0.041735234529180695
21464,BA_LEFT_CLICK,0,0.22871379324222024_0.7599409210493923_-0.011272963969123383,0.29375429770314077_0.7195990836815297_0.0010996193674439195,0.35541767006907676_0.6527898893271197_0.015374760582740022,0.40221727283324765_0.6111879550633726_0.03709335856925363,0.44610462209949164_0.5818408647308408_0.06514727560504714,0.30701634278206885_0.44210563726670665_0.01935056177812898,0.34772348667837943_0.3365932924856596_0.017425000076000802,0.382280226831721_0.29839985782245493_0.00907579172831896,0.41445238341399043_0.2756168213372516_-0.019000761603820013,0.2788036353668269_0.4320289856285258_0.008885138497975217,0.32489348889324526_0.3117816995414394_-0.005541272725318163,0.3680509588834643_0.2841760172684833_-0.023251064249250844,0.4060089108310895_0.2831893887002602_-0.04228489611180891
21500,BA_LEFT_CLICK,0,0.2289467733575854_0.7608750810472775_-0.010401420961389558,0.2938792790648411_0.7204377179301786_0.0017705867479033475,0.3559257338507479_0.6540237057617752_0.016085907423253786,0.40262506319305075_0.6131281895015954_0.0377268377605352,0.4466535319596074_0.5839895780189561_0.06571234355628044,0.30820132486270957_0.4433467398281664_0.01929646544089384,0.3488375029218814_0.33782679425158924_0.017314734581712815,0.38344518843101405_0.3009359416511829_0.008805953088856722,0.41575296679741547_0.27973134254496_-0.019303445832338086,0.2795749276702163_0.43360394168618555_0.008878671986839571,0.3253919596746243_0.31361571755665923_-0.005878831657293868,0.36838491254782674_0.2876320921770608_-0.02380305389831349,0.40618797278108254_0.2885050317350495_-0.04309954455401317
21529,BA_LEFT_CLICK,0,0.22928775997749595_0.761231176078209_-0.01001550906544496,0.29415220107055273_0.720896552002987_0.0020143069656520848,0.356496383751512_0.6545401206343531_0.016462975425526247,0.4030652297593814_0.614147404239521_0.03827235221173551,0.4471699253487223_0.5852666398130836_0.06633305522012355,0.3089909231046605_0.44424784860577354_0.01925076246206337,0.3493689184389609_0.3390377210496174_0.017227249362948685,0.3837791264280236_0.30299846149660553_0.008577178516751119,0.41600979335790006_0.2828214004443543_-0.019564082575961872,0.28013482450044613_0.4347386414108534_0.008890040556972345,0.32552740297910987_0.31527583048072166_-0.0060632403393772695,0.3681814908483505_0.29008567280704783_-0.024286960445005775,0.40576662926437107_0.2920108668568506_-0.04384955732747568
21566,BA_LEFT_CLICK,0,0.22973513723843597_0.7613125380038331_-0.009922336766287242,0.294528693639569_0.721303304033725_0.001994929936077576,0.357188890381718_0.6547365658067988_0.01654831861098985,0.4037634335404764_0.6145224407561187_0.038562411272972316,0.4477392280711837_0.5856755773419525_0.06665407099094106,0.30997176570731544_0.44505183046314056_0.01919887870505948,0.35026311556514883_0.3396775759790982_0.01717455249538672,0.3847206258952265_0.3044998710725896_0.008287216205410631,0.41693955236820485_0.2853065895880426_-0.019905667535960615,0.2809431533701934_0.43557967379076157_0.008900713446048992,0.3264307107305322_0.3160504916932321_-0.006179589585478104,0.36907636638473507_0.291970246610125_-0.024612029796567826,0.40651670144845364_0.2953110283663094_-0.04429822539269649
21599,BA_LEFT_CLICK,0,0.23040780521578236_0.7613269516753445_-0.009450212104451303,0.29520185048050285_0.721392397083639_0.002378678104516968,0.3580477436415866_0.6552234906024398_0.01697241500727638,0.40454950749446_0.6154105413156798_0.038962215049624035,0.4485033269416577_0.5864689787383386_0.06692707818958055,0.3108576961599838_0.44525880531671_0.01918822455370823,0.35133476599070856_0.3402008861330863_0.017114823552057363,0.3859617848539071_0.305733077953195_0.008124676081746794,0.41839965243457244_0.28732227228841506_-0.020065998858213377,0.2815874918848449_0.43597919451699957_0.00890624842827169,0.32726530041502266_0.3168645258447438_-0.006251664305539924,0.3700373253503723_0.29351483073002504_-0.024832843069813468,0.40765324868241404_0.29753835964601993_-0.04461174706601877
21632,BA_LEFT_CLICK,0,0.2311667152019075_0.7614498836936388_-0.009219729887113289,0.29601543946795944_0.7214835913958542_0.002569803719709003,0.3589589993184817_0.6556669726424743_0.017215072995124692,0.4055391893352592_0.6160572090306323_0.039183895181464826,0.44939311470121435_0.5867269627376802_0.06692881510426912,0.3119003397816858_0.4455851866102406_0.01917395459981282,0.35196579729726657_0.34088375568610163_0.017031226946580585,0.386255197870232_0.3066578334410472_0.007906304683852177,0.418460355673778_0.28845669383018274_-0.02037927822351452,0.28246751662494135_0.4364659604033336_0.0089178140702617,0.3275932376083243_0.3177525803010392_-0.006275248106171289,0.3699536149723755_0.29455243775182094_-0.02510754183894938,0.40733049422486195_0.29880209341368485_-0.04509489734954658
21666,BA_LEFT_CLICK,0,0.23222113730682786_0.7614273868514565_-0.009341972757709278,0.2969040497440758_0.7215580727245325_0.0024416802326756195,0.35986989935445884_0.6563108288807337_0.017105317024944968,0.40636687640869806_0.6168685848362002_0.03919171101120923,0.4499677528979802_0.5871278398930556_0.06687315107004098,0.31316134910539317_0.44669574127961703_0.019166771311533607,0.35316909341184893_0.3417698216455915_0.016967946802511357,0.3872846072097598_0.3078949789873348_0.007765540489807115,0.4193675291335964_0.2901355509297773_-0.020544401833057377,0.28370664307595406_0.43733309241934654_0.008914282877665507,0.3288714531657305_0.3182264768728199_-0.0062396350112355545,0.3712146619974317_0.295627230238383_-0.025049592383436726,0.40853020834909737_0.3006409293391022_-0.044968597094114805
21700,BA_LEFT_CLICK,0,0.23283213044940518_0.7615599387894842_-0.009271938255892,0.2974446117320588_0.7222879954644772_0.0025240169366135185,0.36063189069595414_0.6575358886371188_0.017175494359778363,0.40727246335764083_0.6182237501817348_0.03918402736399821,0.4508124915792484_0.5882388634442908_0.06673680186761421,0.3142557249923987_0.4473921448101164_0.01922265588360799,0.3546035785529502_0.34251189804218124_0.016945068649398917,0.38873148601690766_0.3087832065957059_0.007691959001028049,0.42085925315192413_0.29135159526957866_-0.020645241064739205,0.28469119699097567_0.43783679034554196_0.008934049946603575,0.3301959171769783_0.31848651597091215_-0.00618347754929835,0.3728352936123802_0.2963744114490072_-0.024908886116927757,0.41036924948681885_0.3021448760014942_-0.04471015294384653
