pid,task,count,configs
0,BA_LEFT_CLICK,10,"[(630, 260), (1300, 680), (690, 810), (820, 270), (620, 220), (1230, 420), (1170, 360), (930, 490), (960, 460), (860, 520)]"
0,BA_RIGHT_CLICK,10,"[(1190, 230), (780, 390), (920, 560), (820, 840), (970, 680), (580, 260), (540, 470), (990, 500), (1140, 610), (1300, 680)]"
0,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
0,MENU_NAVIGATION,5,"[(790, 500, 920, 800), (900, 500, 1030, 770), (680, 570, 810, 740), (500, 210, 690, 510), (1090, 560, 1240, 710)]"
0,DRAGGING,5,"[(1346, 700, 530, 760), (1406, 740, 480, 440), (620, 240, 1366, 190), (1166, 770, 690, 290), (560, 460, 1106, 760)]"
0,POINT_N_CLICK,5,"[(480, 524, 964, 170, 1358, 838), (824, 544, 500, 210, 1318, 848), (1328, 574, 470, 200, 804, 798), (1094, 160, 460, 504, 1338, 828), (994, 454, 1368, 210, 500, 858)]"
1,BA_LEFT_CLICK,10,"[(1320, 710), (450, 340), (970, 660), (1000, 490), (690, 280), (960, 240), (1220, 620), (680, 730), (1300, 250), (650, 210)]"
1,BA_RIGHT_CLICK,10,"[(850, 550), (690, 460), (430, 860), (1080, 350), (730, 190), (1250, 150), (410, 250), (460, 220), (470, 510), (1160, 640)]"
1,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
1,DRAGGING,5,"[(1106, 370, 630, 260), (1406, 530, 470, 480), (1296, 790, 460, 270), (1186, 370, 510, 610), (640, 200, 1396, 700)]"
1,POINT_N_CLICK,5,"[(430, 544, 1084, 190, 1368, 828), (480, 828, 1328, 190, 774, 544), (1338, 818, 744, 544, 500, 150), (400, 858, 1388, 170, 984, 464), (400, 878, 1388, 220, 1084, 564)]"
1,MENU_NAVIGATION,5,"[(1210, 500, 1370, 690), (1250, 560, 1390, 840), (1000, 400, 1190, 650), (860, 170, 1060, 430), (540, 380, 740, 540)]"
2,BA_LEFT_CLICK,10,"[(640, 700), (970, 270), (1030, 290), (780, 730), (1010, 420), (1390, 320), (580, 800), (590, 710), (510, 230), (980, 360)]"
2,BA_RIGHT_CLICK,10,"[(1100, 270), (530, 360), (1120, 430), (1100, 610), (1160, 360), (760, 280), (1300, 510), (480, 250), (680, 470), (1210, 590)]"
2,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
