pid,task,count,configs
0,BA_POINT,5,"[(510, 240), (850, 510), (570, 620), (990, 400), (610, 230)]"
0,BA_LEFT_CLICK,5,"[(810, 780), (820, 630), (690, 440), (1070, 430), (580, 540)]"
0,BA_RIGHT_CLICK,5,"[(830, 750), (1030, 340), (1290, 480), (950, 440), (690, 870)]"
0,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
0,MENU_NAVIGATION,5,"[(540, 370, 740, 650), (1050, 320, 1220, 620), (900, 450, 1050, 620), (780, 230, 880, 450), (1180, 530, 1320, 790)]"
0,DRAGGING,5,"[(460, 680, 1386, 340), (1356, 390, 660, 840), (480, 550, 1406, 660), (610, 350, 1396, 230), (1326, 380, 610, 230)]"
0,POINT_N_CLICK,5,"[(1044, 584, 490, 240, 1378, 798), (1388, 504, 490, 220, 914, 848), (974, 544, 450, 798, 1378, 230), (470, 828, 854, 574, 1308, 170), (894, 584, 410, 798, 1408, 160)]"
1,BA_POINT,5,"[(530, 160), (400, 740), (640, 520), (520, 610), (800, 190)]"
1,BA_LEFT_CLICK,5,"[(1070, 820), (690, 690), (900, 400), (1110, 230), (830, 230)]"
1,BA_RIGHT_CLICK,5,"[(1300, 530), (1060, 370), (790, 850), (1390, 730), (1000, 430)]"
1,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
1,DRAGGING,5,"[(1236, 420, 660, 350), (1236, 370, 680, 250), (1216, 760, 500, 370), (680, 760, 1186, 290), (580, 710, 1176, 520)]"
1,POINT_N_CLICK,5,"[(1318, 150, 480, 544, 954, 808), (410, 838, 1014, 240, 1408, 464), (500, 230, 1338, 828, 984, 584), (1368, 180, 490, 808, 884, 504), (470, 230, 1308, 868, 914, 484)]"
1,MENU_NAVIGATION,5,"[(780, 510, 910, 740), (1260, 560, 1370, 810), (1100, 480, 1290, 720), (1030, 170, 1130, 410), (1140, 580, 1280, 770)]"
2,BA_POINT,5,"[(1140, 860), (1370, 420), (460, 460), (1330, 880), (770, 620)]"
2,BA_LEFT_CLICK,5,"[(540, 740), (750, 570), (1400, 230), (850, 360), (1280, 600)]"
2,BA_RIGHT_CLICK,5,"[(490, 850), (860, 550), (720, 540), (1090, 220), (1080, 250)]"
2,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
2,POINT_N_CLICK,5,"[(1308, 564, 794, 848, 490, 160), (480, 818, 1408, 220, 1024, 504), (1398, 788, 400, 564, 1094, 180), (470, 454, 774, 868, 1408, 230), (964, 170, 420, 838, 1408, 474)]"
2,MENU_NAVIGATION,5,"[(990, 590, 1160, 800), (940, 360, 1140, 570), (500, 500, 660, 800), (1120, 660, 1270, 880), (400, 190, 590, 350)]"
2,DRAGGING,5,"[(650, 230, 1396, 710), (650, 770, 1166, 680), (1116, 820, 560, 850), (450, 380, 1376, 410), (1266, 630, 590, 720)]"
3,BA_POINT,5,"[(710, 640), (950, 450), (680, 580), (1020, 290), (1230, 320)]"
3,BA_LEFT_CLICK,5,"[(1290, 360), (550, 170), (640, 210), (1070, 300), (830, 750)]"
3,BA_RIGHT_CLICK,5,"[(480, 630), (700, 840), (1060, 680), (590, 170), (1170, 250)]"
