participant_id,task,trail,label,consecutive_frames
0,DRAGGING,0,NONE,43
0,DRAGGING,0,LEFT_PRESS,12
0,DRAGGING,0,NONE,65
0,DRAGGING,0,LEFT_RELEASE,15
0,DRAGGING,0,NONE,19
0,DRAGGING,1,NONE,37
0,DRAGGING,1,LEFT_PRESS,13
0,DRAGGING,1,NONE,65
0,DRAGGING,1,LEFT_RELEASE,13
0,DRAGGING,1,NONE,20
0,DRAGGING,2,NONE,61
0,DRAGGING,2,LEFT_PRESS,14
0,DRAGGING,2,NONE,69
0,DRAGGING,2,LEFT_RELEASE,14
0,DRAGGING,2,NONE,21
0,DRAGGING,3,NONE,36
0,DRAGGING,3,LEFT_PRESS,11
0,DRAGGING,3,NONE,64
0,DRAGGING,3,LEFT_RELEASE,12
0,DRAGGING,3,NONE,17
0,DRAGGING,4,NONE,45
0,DRAGGING,4,LEFT_PRESS,15
0,DRAGGING,4,NONE,53
0,DRAGGING,4,LEFT_RELEASE,15
0,DRAGGING,4,NONE,26
0,LEFT_CLICK,0,NONE,37
0,LEFT_CLICK,0,LEFT_PRESS,10
0,LEFT_CLICK,0,LEFT_RELEASE,11
0,LEFT_CLICK,0,NONE,11
0,LEFT_CLICK,1,NONE,48
0,LEFT_CLICK,1,LEFT_PRESS,8
0,LEFT_CLICK,1,LEFT_RELEASE,9
0,LEFT_CLICK,1,NONE,21
0,LEFT_CLICK,2,NONE,40
0,LEFT_CLICK,2,LEFT_PRESS,9
0,LEFT_CLICK,2,LEFT_RELEASE,11
0,LEFT_CLICK,2,NONE,19
0,LEFT_CLICK,3,NONE,34
0,LEFT_CLICK,3,LEFT_PRESS,9
0,LEFT_CLICK,3,LEFT_RELEASE,13
0,LEFT_CLICK,3,NONE,17
0,LEFT_CLICK,4,NONE,41
0,LEFT_CLICK,4,LEFT_PRESS,10
0,LEFT_CLICK,4,LEFT_RELEASE,11
0,LEFT_CLICK,4,NONE,18
0,LEFT_CLICK,5,NONE,36
0,LEFT_CLICK,5,LEFT_PRESS,9
0,LEFT_CLICK,5,LEFT_RELEASE,12
0,LEFT_CLICK,5,NONE,17
0,LEFT_CLICK,6,NONE,32
0,LEFT_CLICK,6,LEFT_PRESS,10
0,LEFT_CLICK,6,LEFT_RELEASE,12
0,LEFT_CLICK,6,NONE,21
0,LEFT_CLICK,7,NONE,25
0,LEFT_CLICK,7,LEFT_PRESS,9
0,LEFT_CLICK,7,LEFT_RELEASE,12
0,LEFT_CLICK,7,NONE,23
0,LEFT_CLICK,8,NONE,35
