timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
11165,BA_LEFT_CLICK,0,0.20168183443596582_0.7918192298007617_0.041310668789256294,0.2799077489292076_0.7496105832130973_0.03613575929034496,0.3315135934382275_0.7042859995680908_0.026580313216773892,0.3688775489165612_0.6729007695797353_0.01607750620300235,0.3980241439682307_0.6374399295889781_-0.0002614953619106859,0.2797916294261333_0.4814955384509063_0.019942410704097815,0.3341153818246237_0.47308834751080076_0.0007805302073038819,0.3672823835396145_0.5103257939829229_-0.0038670984357749207,0.39186672621735374_0.5445124663095987_-0.010698651626313957,0.240057655846815_0.4747927196450643_0.007220723160963895,0.31200618385240986_0.5274078578363646_-0.01810074865157868,0.2949050268557072_0.6217173567469308_-0.0057695028856748435,0.27304612569333736_0.6155422792086106_0.023308187951197677
11198,BA_LEFT_CLICK,0,0.20211560783903298_0.7918161988888271_0.038912211624112666,0.2799275702886145_0.747995360872846_0.03453257835808392,0.33203713484045627_0.699879972483147_0.026574654874108813,0.3692034395086152_0.6657827404883122_0.01781331512017776,0.39827311213350797_0.6284355705136813_0.003785997251521409,0.2793338347375009_0.4794133437455731_0.020290524098556573,0.3324965681931584_0.46703763095244255_0.0014321729007941248,0.3657743635959128_0.5008840060721873_-0.003702370321762942,0.39092907709891356_0.5329519098743849_-0.011997690581961658,0.23961258624056236_0.47216144860804976_0.00730481088716717,0.3113397903360173_0.5227071428784362_-0.017775315696680272,0.29454057622165686_0.6167027776285322_-0.005901386255054005,0.2725676574096809_0.6096360337932191_0.02277076560620503
11233,BA_LEFT_CLICK,0,0.20190011368688343_0.7918089104202659_0.03618341318156476,0.27923450761257496_0.7469756596737713_0.03267359970035549,0.33198302298734_0.6955193864070804_0.026576881406229803,0.36897311699766977_0.6586734817621402_0.019944291910995875,0.3984842016342203_0.6197939066215163_0.008711540396889735,0.2786326328038862_0.4776485608244767_0.02053911414407201,0.33057177037407637_0.46200949977004124_0.0018550008109078219,0.3639874699264129_0.4921080308350753_-0.003825233774195022,0.3898393364986957_0.5217155246532006_-0.013802927858578513,0.23890340581782069_0.4694684736809802_0.007385970999272119,0.31007893261251807_0.5180110283286279_-0.017567843123025676,0.2935480948941803_0.6117331723248411_-0.006340212554954154,0.27148366989976014_0.6049466333547657_0.02169921353152622
11266,BA_LEFT_CLICK,0,0.20089931215044976_0.7907859144613959_0.03484563385555073,0.27871359104489396_0.7446302289528537_0.03170262019254681,0.3317583863731179_0.6908486713380362_0.026777917979178483,0.36848536405864607_0.6517703784463638_0.02173265991725114,0.39896527640365925_0.6118582366405969_0.012381821331088297,0.27767878128049306_0.47650269637305187_0.02056608340471989,0.32841470814076806_0.4570239625784842_0.00202946063445929,0.3618974997639148_0.48382351892732234_-0.003968120731361633,0.3882501961581851_0.5112877153234516_-0.014982325535573444,0.23781972730356382_0.4680817240779934_0.007422834614492617,0.3082487573380308_0.514072437889648_-0.017605182467895334,0.2920851490224915_0.6074979813794652_-0.0067216719637097225,0.27004245736031407_0.6000043433316092_0.021397019264628326
11301,BA_LEFT_CLICK,0,0.20028556426522828_0.7894806907976324_0.033117829229306575,0.2778196391628195_0.7430216880450955_0.03025678189927671,0.33131236352888377_0.6870584431815739_0.026513885329578445,0.36764624336483676_0.6458432279394336_0.02281090013676951,0.3982823607313106_0.6047941945790486_0.015307098195318026,0.276547087057094_0.4750836747471384_0.020531482925653505,0.32616596203110815_0.45278690993095144_0.002001742097273853,0.3596982132625174_0.47688766398066407_-0.0043222406446519895,0.38644021286908353_0.5024411231578855_-0.016512483021861618,0.23646834178128187_0.4662795992140244_0.007470230928224057,0.3062367312236656_0.5101650216637235_-0.017721841286816267,0.29037903001511234_0.6036164571365007_-0.007304381068530187,0.26844075376056575_0.5956323728090558_0.02085491008562234
11333,BA_LEFT_CLICK,0,0.19962114922330937_0.7883561767263934_0.03131537315517378,0.2765547618997899_0.7421081711300462_0.02868537693090704,0.3304680269429496_0.6843274548473832_0.025895419415167275,0.3663307636509148_0.6412837666166837_0.023051891863298972,0.39659126734634004_0.5986820262908329_0.016944352937033686,0.2754678351272426_0.4736964311269039_0.02046708310098652,0.32370976433008675_0.4495921571199473_0.001817171432602713,0.35714835494610403_0.4717831657571326_-0.004910983557668003,0.3841840110965059_0.49576184751999125_-0.01809702637691999,0.2351760094035335_0.4643064762309608_0.0075152549017761,0.30394379076353945_0.5067621416614995_-0.01796931489403889,0.2883829693047535_0.6005457726733119_-0.00800419855990609,0.2665747229597008_0.5923405397038487_0.02002039938769648
11366,BA_LEFT_CLICK,0,0.19887664383352727_0.7869779163299978_0.030270494439361192,0.27524611836535195_0.74123003875798_0.027685648164093232,0.3295148596341937_0.6822073471405409_0.025049125310843235,0.3647269713504957_0.6378320822630735_0.021858202230892628,0.39435947446743463_0.5934330067824832_0.015832203946344783,0.27472477536116297_0.4721257433149906_0.02026346857906345,0.3216112738835793_0.44659827861343837_0.0014033950631048757,0.3547347590911606_0.46740913162571035_-0.0057149413547251,0.3818144923645247_0.49004139782914913_-0.019649259828724105,0.23408788539319575_0.4621206780398224_0.007532922183020421,0.30155063292974027_0.5035176115645207_-0.01837832402464426,0.28631623347984403_0.5976142714513326_-0.008684060544797584,0.26474480425048164_0.5891040411075614_0.019353351113016684
11400,BA_LEFT_CLICK,0,0.1976256804919317_0.7854844803570891_0.029331526095197756,0.2735456445683039_0.7407427056279661_0.026717115088057308,0.3282199967046999_0.6809903869516295_0.023984790966562468,0.3629312958418407_0.6353756125382115_0.020289081284969687,0.3911173205273932_0.5887540810737222_0.014046573298639243,0.27391681775024934_0.47109706758290065_0.019932311559207945,0.3193006484498963_0.443795348907749_0.0009085476211092058,0.352019401835459_0.4629889231518256_-0.006593876745012075,0.37909351994180596_0.4843275251541885_-0.021188882059413307,0.23291179615139437_0.4603927640219_0.007533652786051042,0.29890532391543223_0.4999440540801078_-0.018839674562427813,0.2841093560885322_0.5944283231173344_-0.009397042549474086,0.2629491575140023_0.5853728649203509_0.018587427232118668
11433,BA_LEFT_CLICK,0,0.19634756344605087_0.7835712571906396_0.029190876580894917,0.2719394142523604_0.7398792802212144_0.026253168945512606,0.3270057990662594_0.680145362177423_0.022688708603900307,0.361352145361827_0.6332865425436918_0.017520284016585067,0.38717047657152703_0.5841271347549128_0.010065753187709003,0.273145043488911_0.4703939204122983_0.019375673361212185,0.31670566549224743_0.44068932787993764_0.00013954608133484397,0.3489341218845507_0.4583207211172857_-0.007708955737516618,0.37568449941940246_0.4792961599472644_-0.023137696736302466,0.23176023425960124_0.45906032189523915_0.007455793830660826,0.29590552129169334_0.49677144924247985_-0.019543140030076834,0.2815377609595404_0.5916593968132645_-0.010373446052728531,0.2608055323424549_0.5825750467923904_0.01760879011428533
11466,BA_LEFT_CLICK,0,0.19563044824638842_0.7821685425414522_0.028362577456331993,0.26978212198378226_0.7398484467599793_0.02511753515104567,0.3254215919583908_0.6793983770679883_0.021369212389406866,0.3594463703536401_0.6312947804521898_0.015311531511668934,0.3830619616157269_0.5800163798925534_0.007238437375206112,0.27228443712915673_0.46961338080615705_0.018838859242272514,0.31361494581161414_0.4376524409168499_-0.0005724486232515218,0.34525948799264117_0.45363967349340745_-0.008879698958051472,0.3715785977655025_0.47431351916340847_-0.025415707153675155,0.23068873335761692_0.45749330174760616_0.007367757459805685,0.2926158712531728_0.49329420478697406_-0.020148552076952247,0.27876761330483324_0.5888728379614759_-0.011491884951161099,0.2584516346504379_0.5811563919184705_0.01616022766809605
11499,BA_LEFT_CLICK,0,0.19432009632141495_0.7810042064963881_0.027697761842089292,0.2672013072233326_0.7396742915418946_0.024108014261326114,0.32321048804997377_0.6784904871997398_0.020029652929637674,0.3567652533454426_0.6290030189189418_0.013051365147212803,0.3779691289143925_0.5759863776681626_0.004171251468482303,0.2711782426907674_0.4687028408658577_0.018355604324398152,0.3101829558234094_0.43478681608148717_-0.0012010738468739225,0.3410250905085539_0.4488490659412562_-0.009917651232919907,0.36673567989773526_0.469185977588875_-0.02742455583619849,0.22931539217506144_0.4557875128733047_0.007277521739662709,0.2891173029919944_0.4891596639279985_-0.02068433393393881,0.2757318538293677_0.585424473238596_-0.012580494216574633,0.2558979404012433_0.5786526592729966_0.014814701924172582
11535,BA_LEFT_CLICK,0,0.19291493197084353_0.7794890174531225_0.027341429383339402,0.26457316502419526_0.7391188792631788_0.02322720863370174,0.3208432517757334_0.6773311475608478_0.01845338647868939,0.3538616402946097_0.6262277251746737_0.010105935200198223,0.3723848327221207_0.5712366400335475_-1.7768770358810634e-05,0.27000341783158427_0.4678703511247693_0.017672191610859006,0.3067287301715754_0.43243972431904715_-0.001945550160930382,0.33661383294494435_0.4443104913565969_-0.011122222933643513,0.3615255995536405_0.4641821677770479_-0.029628180418871053,0.22787860592106418_0.4540038730420215_0.007150002171803334,0.28528700192614254_0.4845974011520119_-0.02118720147494417,0.2724708614242425_0.5814149303059647_-0.013856825833712741,0.2532725701363938_0.5760214998053297_0.013420874674675896
11565,BA_LEFT_CLICK,0,0.1910328052425455_0.7775592501372722_0.02709577102723274,0.2619820421893391_0.7381096881425987_0.02246852656064887,0.31825065194053_0.6762174470975979_0.01698095564291245,0.3507630192440496_0.6238455324384756_0.007459462653910104,0.36761545055880007_0.5668307183722054_-0.003812662565630158,0.2683312552785273_0.467257198849492_0.016975867192686536,0.303122462486946_0.43103163418202917_-0.002752033307016553,0.3321687988712906_0.4405534844186668_-0.012206903055090468,0.3566855882759538_0.45875813923567643_-0.03140092379209376,0.22597003428061357_0.4528158685141836_0.007065439502564127,0.28144744769608065_0.4806860338290192_-0.021723170844586227,0.26907244900801586_0.5780232010540064_-0.015012789849595011,0.25047077791945593_0.5728282748641003_0.012417890468881953
