pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance,system
1,DragDrop,1,9.837840795516968,1,,,,,,,A,A,706.5550226273959,706.5550226273959,0.0,735.7070537425757,,,,,,gesture
1,DragDrop,2,3.928550958633423,0,,,,,,,C,,771.1737806746285,771.1737806746285,0.0,556.0662873399776,,,,,,gesture
1,DragDrop,3,12.596137046813965,0,,,,,,,B,,1021.1385802132831,1021.1385802132831,0.0,820.2844777263314,,,,,,gesture
1,DragDrop,4,5.794787168502808,1,,,,,,,C,C,830.0903565275289,830.0903565275289,0.0,588.5977523534448,,,,,,gesture
1,DragDrop,5,4.567595958709717,1,,,,,,,A,A,680.9522743922661,680.9522743922661,0.0,639.7314926655566,,,,,,gesture
1,KeyboardInput,1,78.80497002601624,1,,,,,,,,,,,,,TYPING,TYPING,17.0,5.0,9393.793557977442,gesture
1,KeyboardInput,2,85.49972867965698,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,16.0,3.0,10011.551562875771,gesture
1,KeyboardInput,3,71.73312473297119,1,,,,,,,,,,,,,PRACTICE,PRACTICE,15.0,3.0,8010.4614419114605,gesture
1,KeyboardInput,4,29.90574884414673,1,,,,,,,,,,,,,COMPUTER,COMPUTER,9.0,0.0,3170.4151848632177,gesture
1,KeyboardInput,5,25.96133780479431,1,,,,,,,,,,,,,NETWORK,NETWORK,8.0,0.0,3062.3184388970985,gesture
1,MenuSelect,1,4.465311050415039,1,6.0,0.0,0.0,168.34488409215172,111.68258592994702,227.03705686964065,,,,,,,,,,,,gesture
1,MenuSelect,2,2.7630579471588135,1,6.0,2.0,2.0,1222.8920639206062,182.62803727796015,230.19404160414388,,,,,,,,,,,,gesture
1,MenuSelect,3,4.364300966262817,1,6.0,2.0,2.0,1250.744578241297,182.62803727796015,339.2996862829928,,,,,,,,,,,,gesture
