2025-11-30 23:27:14,004 [INFO] app.main(): Loaded task configs [(<TrueTaskType.MenuSelect: 'Menu Selection'>, 5, [{'target_index': 4}, {'target_index': 5}, {'target_index': 4}, {'target_index': 5}, {'target_index': 3}]), (<TrueTaskType.DragDrop: 'Drag and Drop'>, 5, [{'target_area': 'B'}, {'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'B'}, {'target_area': 'D'}]), (<TrueTaskType.KeyboardInput: 'Keyboard Input'>, 5, [{'target_word': 'TYPING'}, {'target_word': 'MONITOR'}, {'target_word': 'NETWORK'}, {'target_word': 'PRACTICE'}, {'target_word': 'LANGUAGE'}])]
2025-11-30 23:27:17,043 [INFO] controller.start_study(): Study started.
2025-11-30 23:27:19,272 [INFO] controller.start_next_trial(): Start trial 1 of task MenuSelect
2025-11-30 23:27:20,805 [DEBUG] menu_select.show_context_menu(): show context menu at PySide6.QtCore.QPoint(328, 251)
2025-11-30 23:27:20,813 [DEBUG] mouse_listener.get_mouse_listener(): Started MouseListenerSingleton thread.
2025-11-30 23:27:20,813 [DEBUG] mouse_listener.start_record_distance(): Started recording mouse movement distance.
2025-11-30 23:27:20,909 [DEBUG] mouse_listener.on_click(): right_release at (478, 461)
2025-11-30 23:27:21,172 [DEBUG] mouse_listener.on_move(): Mouse moved to (479.0, 461.0)
2025-11-30 23:27:21,178 [DEBUG] mouse_listener.on_move(): Mouse moved to (481.0, 461.0)
2025-11-30 23:27:21,188 [DEBUG] mouse_listener.on_move(): Mouse moved to (483.0, 462.0)
2025-11-30 23:27:21,195 [DEBUG] mouse_listener.on_move(): Mouse moved to (485.0, 463.0)
2025-11-30 23:27:21,203 [DEBUG] mouse_listener.on_move(): Mouse moved to (488.0, 464.0)
2025-11-30 23:27:21,209 [DEBUG] mouse_listener.on_move(): Mouse moved to (490.0, 464.0)
2025-11-30 23:27:21,225 [DEBUG] mouse_listener.on_move(): Mouse moved to (492.0, 465.0)
2025-11-30 23:27:21,233 [DEBUG] mouse_listener.on_move(): Mouse moved to (495.0, 466.0)
2025-11-30 23:27:21,240 [DEBUG] mouse_listener.on_move(): Mouse moved to (499.0, 467.0)
2025-11-30 23:27:21,247 [DEBUG] mouse_listener.on_move(): Mouse moved to (500.0, 468.0)
2025-11-30 23:27:21,255 [DEBUG] mouse_listener.on_move(): Mouse moved to (502.0, 469.0)
2025-11-30 23:27:21,263 [DEBUG] mouse_listener.on_move(): Mouse moved to (505.0, 471.0)
2025-11-30 23:27:21,270 [DEBUG] mouse_listener.on_move(): Mouse moved to (507.0, 473.0)
2025-11-30 23:27:21,277 [DEBUG] mouse_listener.on_move(): Mouse moved to (509.0, 475.0)
2025-11-30 23:27:21,284 [DEBUG] mouse_listener.on_move(): Mouse moved to (512.0, 477.0)
2025-11-30 23:27:21,293 [DEBUG] mouse_listener.on_move(): Mouse moved to (514.0, 481.0)
2025-11-30 23:27:21,300 [DEBUG] mouse_listener.on_move(): Mouse moved to (520.0, 487.0)
2025-11-30 23:27:21,307 [DEBUG] mouse_listener.on_move(): Mouse moved to (525.0, 493.0)
2025-11-30 23:27:21,314 [DEBUG] mouse_listener.on_move(): Mouse moved to (530.0, 501.0)
2025-11-30 23:27:21,323 [DEBUG] mouse_listener.on_move(): Mouse moved to (538.0, 514.0)
2025-11-30 23:27:21,338 [DEBUG] mouse_listener.on_move(): Mouse moved to (543.0, 523.0)
2025-11-30 23:27:21,345 [DEBUG] mouse_listener.on_move(): Mouse moved to (550.0, 537.0)
2025-11-30 23:27:21,352 [DEBUG] mouse_listener.on_move(): Mouse moved to (553.0, 546.0)
2025-11-30 23:27:21,359 [DEBUG] mouse_listener.on_move(): Mouse moved to (556.0, 556.0)
2025-11-30 23:27:21,367 [DEBUG] mouse_listener.on_move(): Mouse moved to (561.0, 571.0)
2025-11-30 23:27:21,374 [DEBUG] mouse_listener.on_move(): Mouse moved to (564.0, 583.0)
2025-11-30 23:27:21,380 [DEBUG] mouse_listener.on_move(): Mouse moved to (567.0, 597.0)
2025-11-30 23:27:21,391 [DEBUG] mouse_listener.on_move(): Mouse moved to (570.0, 610.0)
2025-11-30 23:27:21,398 [DEBUG] mouse_listener.on_move(): Mouse moved to (572.0, 622.0)
2025-11-30 23:27:21,405 [DEBUG] mouse_listener.on_move(): Mouse moved to (575.0, 635.0)
2025-11-30 23:27:21,413 [DEBUG] mouse_listener.on_move(): Mouse moved to (578.0, 648.0)
2025-11-30 23:27:21,420 [DEBUG] mouse_listener.on_move(): Mouse moved to (581.0, 662.0)
2025-11-30 23:27:21,428 [DEBUG] mouse_listener.on_move(): Mouse moved to (583.0, 676.0)
2025-11-30 23:27:21,441 [DEBUG] mouse_listener.on_move(): Mouse moved to (585.0, 688.0)
2025-11-30 23:27:21,447 [DEBUG] mouse_listener.on_move(): Mouse moved to (588.0, 703.0)
2025-11-30 23:27:21,459 [DEBUG] mouse_listener.on_move(): Mouse moved to (589.0, 712.0)
2025-11-30 23:27:21,465 [DEBUG] mouse_listener.on_move(): Mouse moved to (590.0, 722.0)
2025-11-30 23:27:21,480 [DEBUG] mouse_listener.on_move(): Mouse moved to (591.0, 728.0)
2025-11-30 23:27:21,486 [DEBUG] mouse_listener.on_move(): Mouse moved to (591.0, 733.0)
2025-11-30 23:27:21,495 [DEBUG] mouse_listener.on_move(): Mouse moved to (592.0, 739.0)
2025-11-30 23:27:21,503 [DEBUG] mouse_listener.on_move(): Mouse moved to (593.0, 743.0)
2025-11-30 23:27:21,510 [DEBUG] mouse_listener.on_move(): Mouse moved to (593.0, 746.0)
2025-11-30 23:27:21,517 [DEBUG] mouse_listener.on_move(): Mouse moved to (594.0, 750.0)
2025-11-30 23:27:21,525 [DEBUG] mouse_listener.on_move(): Mouse moved to (594.0, 752.0)
2025-11-30 23:27:21,533 [DEBUG] mouse_listener.on_move(): Mouse moved to (594.0, 753.0)
2025-11-30 23:27:21,809 [DEBUG] mouse_listener.on_move(): Mouse moved to (594.0, 752.0)
2025-11-30 23:27:21,819 [DEBUG] mouse_listener.on_move(): Mouse moved to (594.0, 748.0)
2025-11-30 23:27:21,824 [DEBUG] mouse_listener.on_move(): Mouse moved to (593.0, 745.0)
2025-11-30 23:27:21,833 [DEBUG] mouse_listener.on_move(): Mouse moved to (592.0, 742.0)
2025-11-30 23:27:21,840 [DEBUG] mouse_listener.on_move(): Mouse moved to (591.0, 739.0)
2025-11-30 23:27:21,848 [DEBUG] mouse_listener.on_move(): Mouse moved to (591.0, 737.0)
2025-11-30 23:27:21,855 [DEBUG] mouse_listener.on_move(): Mouse moved to (590.0, 736.0)
2025-11-30 23:27:21,863 [DEBUG] mouse_listener.on_move(): Mouse moved to (590.0, 734.0)
2025-11-30 23:27:21,878 [DEBUG] mouse_listener.on_move(): Mouse moved to (590.0, 733.0)
2025-11-30 23:27:21,886 [DEBUG] mouse_listener.on_move(): Mouse moved to (589.0, 732.0)
2025-11-30 23:27:21,900 [DEBUG] mouse_listener.on_move(): Mouse moved to (589.0, 731.0)
2025-11-30 23:27:21,969 [DEBUG] mouse_listener.on_click(): left_press at (589, 731)
2025-11-30 23:27:22,059 [DEBUG] mouse_listener.on_click(): left_release at (589, 731)
2025-11-30 23:27:22,061 [DEBUG] menu_select.on_menu_clicked(): item idx 4 is selected
2025-11-30 23:27:22,089 [DEBUG] mouse_listener.stop_record_distance(): Stopped recording mouse movement distance. Total distance: 1018.2614015397199
2025-11-30 23:27:22,089 [DEBUG] menu_select.on_menu_clicked(): MenuSelect completed: {'is_correct': 1, 'menu_length': 6, 'target_index': 4, 'selected_index': 4, 'error_distance': 7.211102550927978, 'target_distance': 284.8596145472362, 'moving_distance': 1018.2614015397199}
2025-11-30 23:27:22,089 [INFO] controller.on_trial_completed(): Current trail completed in 2.82s
2025-11-30 23:27:22,096 [INFO] controller.start_next_trial(): Start trial 2 of task MenuSelect
2025-11-30 23:27:22,096 [DEBUG] mouse_listener.on_move(): Mouse moved to (589.0, 729.0)
2025-11-30 23:27:22,102 [DEBUG] mouse_listener.on_move(): Mouse moved to (590.0, 723.0)
2025-11-30 23:27:22,112 [DEBUG] mouse_listener.on_move(): Mouse moved to (592.0, 717.0)
2025-11-30 23:27:22,118 [DEBUG] mouse_listener.on_move(): Mouse moved to (595.0, 710.0)
2025-11-30 23:27:22,125 [DEBUG] mouse_listener.on_move(): Mouse moved to (597.0, 703.0)
2025-11-30 23:27:22,133 [DEBUG] mouse_listener.on_move(): Mouse moved to (600.0, 694.0)
2025-11-30 23:27:22,141 [DEBUG] mouse_listener.on_move(): Mouse moved to (606.0, 679.0)
2025-11-30 23:27:22,147 [DEBUG] mouse_listener.on_move(): Mouse moved to (610.0, 666.0)
2025-11-30 23:27:22,155 [DEBUG] mouse_listener.on_move(): Mouse moved to (613.0, 657.0)
2025-11-30 23:27:22,163 [DEBUG] mouse_listener.on_move(): Mouse moved to (618.0, 638.0)
2025-11-30 23:27:22,170 [DEBUG] mouse_listener.on_move(): Mouse moved to (621.0, 625.0)
2025-11-30 23:27:22,178 [DEBUG] mouse_listener.on_move(): Mouse moved to (626.0, 606.0)
2025-11-30 23:27:22,185 [DEBUG] mouse_listener.on_move(): Mouse moved to (630.0, 589.0)
2025-11-30 23:27:22,194 [DEBUG] mouse_listener.on_move(): Mouse moved to (634.0, 569.0)
2025-11-30 23:27:22,207 [DEBUG] mouse_listener.on_move(): Mouse moved to (637.0, 548.0)
2025-11-30 23:27:22,214 [DEBUG] mouse_listener.on_move(): Mouse moved to (639.0, 528.0)
2025-11-30 23:27:22,222 [DEBUG] mouse_listener.on_move(): Mouse moved to (643.0, 508.0)
2025-11-30 23:27:22,229 [DEBUG] mouse_listener.on_move(): Mouse moved to (645.0, 492.0)
2025-11-30 23:27:22,237 [DEBUG] mouse_listener.on_move(): Mouse moved to (650.0, 472.0)
2025-11-30 23:27:22,244 [DEBUG] mouse_listener.on_move(): Mouse moved to (655.0, 452.0)
2025-11-30 23:27:22,252 [DEBUG] mouse_listener.on_move(): Mouse moved to (659.0, 437.0)
2025-11-30 23:27:22,259 [DEBUG] mouse_listener.on_move(): Mouse moved to (665.0, 419.0)
2025-11-30 23:27:22,267 [DEBUG] mouse_listener.on_move(): Mouse moved to (669.0, 407.0)
2025-11-30 23:27:22,274 [DEBUG] mouse_listener.on_move(): Mouse moved to (673.0, 396.0)
2025-11-30 23:27:22,282 [DEBUG] mouse_listener.on_move(): Mouse moved to (678.0, 382.0)
2025-11-30 23:27:22,289 [DEBUG] mouse_listener.on_move(): Mouse moved to (681.0, 374.0)
2025-11-30 23:27:22,297 [DEBUG] mouse_listener.on_move(): Mouse moved to (683.0, 364.0)
2025-11-30 23:27:22,312 [DEBUG] mouse_listener.on_move(): Mouse moved to (685.0, 357.0)
2025-11-30 23:27:22,320 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 351.0)
2025-11-30 23:27:22,327 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 346.0)
2025-11-30 23:27:22,335 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 342.0)
2025-11-30 23:27:22,342 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 337.0)
2025-11-30 23:27:22,349 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 333.0)
2025-11-30 23:27:22,357 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 331.0)
2025-11-30 23:27:22,364 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 329.0)
2025-11-30 23:27:22,372 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 327.0)
2025-11-30 23:27:22,379 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 325.0)
2025-11-30 23:27:22,387 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 324.0)
2025-11-30 23:27:22,394 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 323.0)
2025-11-30 23:27:22,508 [DEBUG] mouse_listener.on_click(): right_press at (686, 323)
2025-11-30 23:27:22,508 [DEBUG] menu_select.show_context_menu(): show context menu at PySide6.QtCore.QPoint(536, 113)
2025-11-30 23:27:22,514 [DEBUG] mouse_listener.start_record_distance(): Started recording mouse movement distance.
2025-11-30 23:27:22,613 [DEBUG] mouse_listener.on_click(): right_release at (686, 323)
2025-11-30 23:27:22,658 [DEBUG] mouse_listener.on_move(): Mouse moved to (689.0, 324.0)
2025-11-30 23:27:22,666 [DEBUG] mouse_listener.on_move(): Mouse moved to (692.0, 326.0)
2025-11-30 23:27:22,675 [DEBUG] mouse_listener.on_move(): Mouse moved to (698.0, 329.0)
2025-11-30 23:27:22,680 [DEBUG] mouse_listener.on_move(): Mouse moved to (706.0, 334.0)
2025-11-30 23:27:22,690 [DEBUG] mouse_listener.on_move(): Mouse moved to (711.0, 338.0)
2025-11-30 23:27:22,697 [DEBUG] mouse_listener.on_move(): Mouse moved to (718.0, 341.0)
2025-11-30 23:27:22,704 [DEBUG] mouse_listener.on_move(): Mouse moved to (723.0, 343.0)
2025-11-30 23:27:22,711 [DEBUG] mouse_listener.on_move(): Mouse moved to (730.0, 347.0)
2025-11-30 23:27:22,719 [DEBUG] mouse_listener.on_move(): Mouse moved to (738.0, 350.0)
2025-11-30 23:27:22,727 [DEBUG] mouse_listener.on_move(): Mouse moved to (748.0, 355.0)
2025-11-30 23:27:22,735 [DEBUG] mouse_listener.on_move(): Mouse moved to (755.0, 359.0)
2025-11-30 23:27:22,750 [DEBUG] mouse_listener.on_move(): Mouse moved to (770.0, 366.0)
