pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance
0,MenuSelect,1,1.772089958190918,1,6,4,4,31.589764291741915,284.8596145472362,1159.2247861219048,,,,,,,,,,,
0,MenuSelect,2,1.4872710704803467,1,6,5,5,24.133722339396343,339.31254029286924,317.1623536290512,,,,,,,,,,,
0,MenuSelect,3,1.6507513523101807,1,6,4,4,54.957549757886994,284.8596145472362,249.86176065253866,,,,,,,,,,,
0,MenuSelect,4,2.2942636013031006,1,6,5,5,39.61614294373294,339.31254029286924,319.0324682063663,,,,,,,,,,,
0,MenuSelect,5,1.4691152572631836,1,6,3,3,64.44348531133512,232.13142829009604,231.01585741505997,,,,,,,,,,,
0,DragDrop,1,2.443358898162842,1,,,,,,,B,B,986.8414259646785,986.7243789427724,1.0,936.0711426838855,,,,,
0,DragDrop,2,2.9268832206726074,1,,,,,,,D,D,1131.3461008904392,1127.938384842009,4.123105625617661,1183.0666606451157,,,,,
0,DragDrop,3,1.7853140830993652,1,,,,,,,A,A,691.1237226430591,696.8414453805112,6.324555320336759,619.1438070978875,,,,,
0,DragDrop,4,3.5996780395507812,1,,,,,,,B,B,1000.6842658900958,1001.6471434592124,1.4142135623730951,1844.4498800942401,,,,,
0,DragDrop,5,2.836503267288208,1,,,,,,,D,D,1067.7687015454237,1064.2560782067444,3.605551275463989,1136.4850497383848,,,,,
0,KeyboardInput,1,8.122831106185913,1,,,,,,,,,,,,,TYPING,TYPING,7,0,1512.3886071600334
0,KeyboardInput,2,6.749453067779541,1,,,,,,,,,,,,,MONITOR,MONITOR,8,0,1993.5651902077527
0,KeyboardInput,3,5.131357192993164,0,,,,,,,,,,,,,NETWORK,NETO,5,0,1119.739608761191
0,KeyboardInput,4,8.146115064620972,1,,,,,,,,,,,,,PRACTICE,PRACTICE,9,0,2536.055354430369
0,KeyboardInput,5,8.055123090744019,1,,,,,,,,,,,,,LANGUAGE,LANGUAGE,9,0,2892.660106935354
