pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance
3,MenuSelect,1,11.928553819656372,1,6,3,3,23.0156945149825,232.13142829009604,238.9886011127489,,,,,,,,,,,
3,MenuSelect,2,3.298466205596924,1,6,4,4,58.3075935557251,284.8596145472362,250.3159076555522,,,,,,,,,,,
3,MenuSelect,3,2.9526991844177246,1,6,4,4,74.4858449551446,284.8596145472362,248.5838466007616,,,,,,,,,,,
3,MenuSelect,4,2.839718818664551,1,6,0,0,96.3585180040332,111.68258592994702,143.183178022327326,,,,,,,,,,,
3,MenuSelect,5,2.2227320671081543,1,6,4,4,34.2418725679338,284.8596145472362,262.3660943116785,,,,,,,,,,,
3,DragDrop,1,2.304298162460327,1,,,,,,,C,C,830.0295175474183,830.0295175474183,0.0,896.0058659680872,,,,,
3,DragDrop,2,1.8949429988861084,1,,,,,,,A,A,767.3936408389113,767.3936408389113,0.0,628.3799916266911,,,,,
3,DragDrop,3,2.3262410163879395,1,,,,,,,D,D,1103.748159681365,1103.748159681365,0.0,968.430769507212,,,,,
3,DragDrop,4,2.093017101287842,1,,,,,,,C,C,876.9521081564261,876.9521081564261,0.0,639.2791550195815,,,,,
3,DragDrop,5,2.155241012573242,1,,,,,,,B,B,1057.8355259680022,1057.8355259680022,0.0,1008.0046008140092,,,,,
3,KeyboardInput,1,6.79099702835083,1,,,,,,,,,,,,,TYPING,TYPING,7,0,1394.0968593586858
3,KeyboardInput,2,7.020723819732666,1,,,,,,,,,,,,,PRACTICE,PRACTICE,9,0,2760.164215313038
3,KeyboardInput,3,7.200042009353638,1,,,,,,,,,,,,,KEYBOARD,KEYBOARD,9,0,2694.293792805135
3,KeyboardInput,4,6.702393054962158,1,,,,,,,,,,,,,COMPUTER,COMPUTER,9,0,1925.3147758548625
3,KeyboardInput,5,8.00866985321045,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,10,0,2375.05731816271
