pid,task_type,trial_num,configs
0,MenuSelect,5,"[{'target_index': 0}, {'target_index': 3}, {'target_index': 2}, {'target_index': 5}, {'target_index': 0}]"
0,DragDrop,5,"[{'target_area': 'C'}, {'target_area': 'B'}, {'target_area': 'B'}, {'target_area': 'B'}, {'target_area': 'A'}]"
0,KeyboardInput,5,"[{'target_word': 'NETWORK'}, {'target_word': 'COMPUTER'}, {'target_word': 'KEYBOARD'}, {'target_word': 'LANGUAGE'}, {'target_word': 'MONITOR'}]"
1,DragDrop,5,"[{'target_area': 'D'}, {'target_area': 'B'}, {'target_area': 'D'}, {'target_area': 'C'}, {'target_area': 'A'}]"
1,KeyboardInput,5,"[{'target_word': 'NETWORK'}, {'target_word': 'COMPUTER'}, {'target_word': 'TYPING'}, {'target_word': 'PRACTICE'}, {'target_word': 'KEYBOARD'}]"
1,MenuSelect,5,"[{'target_index': 3}, {'target_index': 4}, {'target_index': 5}, {'target_index': 0}, {'target_index': 5}]"
2,KeyboardInput,5,"[{'target_word': 'ALGORITHM'}, {'target_word': 'COMPUTER'}, {'target_word': 'TYPING'}, {'target_word': 'NETWORK'}, {'target_word': 'KEYBOARD'}]"
2,MenuSelect,5,"[{'target_index': 4}, {'target_index': 2}, {'target_index': 4}, {'target_index': 0}, {'target_index': 1}]"
2,DragDrop,5,"[{'target_area': 'C'}, {'target_area': 'B'}, {'target_area': 'C'}, {'target_area': 'C'}, {'target_area': 'A'}]"
3,MenuSelect,5,"[{'target_index': 1}, {'target_index': 1}, {'target_index': 0}, {'target_index': 5}, {'target_index': 4}]"
3,DragDrop,5,"[{'target_area': 'D'}, {'target_area': 'C'}, {'target_area': 'D'}, {'target_area': 'B'}, {'target_area': 'A'}]"
3,KeyboardInput,5,"[{'target_word': 'EDUCATION'}, {'target_word': 'PRACTICE'}, {'target_word': 'MONITOR'}, {'target_word': 'COMPUTER'}, {'target_word': 'ALGORITHM'}]"
4,DragDrop,5,"[{'target_area': 'B'}, {'target_area': 'C'}, {'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'D'}]"
4,KeyboardInput,5,"[{'target_word': 'COMPUTER'}, {'target_word': 'KEYBOARD'}, {'target_word': 'NETWORK'}, {'target_word': 'TYPING'}, {'target_word': 'EDUCATION'}]"
4,MenuSelect,5,"[{'target_index': 4}, {'target_index': 2}, {'target_index': 3}, {'target_index': 2}, {'target_index': 4}]"
5,KeyboardInput,5,"[{'target_word': 'ALGORITHM'}, {'target_word': 'EDUCATION'}, {'target_word': 'MONITOR'}, {'target_word': 'TYPING'}, {'target_word': 'LANGUAGE'}]"
5,MenuSelect,5,"[{'target_index': 5}, {'target_index': 0}, {'target_index': 3}, {'target_index': 2}, {'target_index': 4}]"
5,DragDrop,5,"[{'target_area': 'C'}, {'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'C'}, {'target_area': 'A'}]"
6,MenuSelect,5,"[{'target_index': 4}, {'target_index': 5}, {'target_index': 3}, {'target_index': 4}, {'target_index': 4}]"
6,DragDrop,5,"[{'target_area': 'B'}, {'target_area': 'D'}, {'target_area': 'C'}, {'target_area': 'D'}, {'target_area': 'A'}]"
6,KeyboardInput,5,"[{'target_word': 'ALGORITHM'}, {'target_word': 'EDUCATION'}, {'target_word': 'PRACTICE'}, {'target_word': 'KEYBOARD'}, {'target_word': 'LANGUAGE'}]"
7,DragDrop,5,"[{'target_area': 'B'}, {'target_area': 'B'}, {'target_area': 'B'}, {'target_area': 'B'}, {'target_area': 'D'}]"
7,KeyboardInput,5,"[{'target_word': 'COMPUTER'}, {'target_word': 'MONITOR'}, {'target_word': 'ALGORITHM'}, {'target_word': 'EDUCATION'}, {'target_word': 'LANGUAGE'}]"
7,MenuSelect,5,"[{'target_index': 5}, {'target_index': 2}, {'target_index': 4}, {'target_index': 1}, {'target_index': 0}]"
8,KeyboardInput,5,"[{'target_word': 'KEYBOARD'}, {'target_word': 'COMPUTER'}, {'target_word': 'ALGORITHM'}, {'target_word': 'TYPING'}, {'target_word': 'LANGUAGE'}]"
8,MenuSelect,5,"[{'target_index': 3}, {'target_index': 2}, {'target_index': 5}, {'target_index': 4}, {'target_index': 5}]"
8,DragDrop,5,"[{'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'C'}, {'target_area': 'D'}, {'target_area': 'C'}]"
