Start training script: Sun Nov 30 17:03:02 2025
Generating dataset from labeled CSV.
+ Processing participant 0, task DRAGGING, trail 0
+ Processing participant 0, task DRAGGING, trail 1
+ Processing participant 0, task DRAGGING, trail 2
+ Processing participant 0, task DRAGGING, trail 3
+ Processing participant 0, task DRAGGING, trail 4
+ Processing participant 0, task LEFT_CLICK, trail 0
+ Processing participant 0, task LEFT_CLICK, trail 1
+ Processing participant 0, task LEFT_CLICK, trail 2
+ Processing participant 0, task LEFT_CLICK, trail 3
+ Processing participant 0, task LEFT_CLICK, trail 4
+ Processing participant 0, task LEFT_CLICK, trail 5
+ Processing participant 0, task LEFT_CLICK, trail 6
+ Processing participant 0, task LEFT_CLICK, trail 7
+ Processing participant 0, task LEFT_CLICK, trail 8
+ Processing participant 0, task LEFT_CLICK, trail 9
+ Processing participant 0, task MENU_NAVIGATION, trail 0
+ Processing participant 0, task MENU_NAVIGATION, trail 1
+ Processing participant 0, task MENU_NAVIGATION, trail 2
+ Processing participant 0, task MENU_NAVIGATION, trail 3
+ Processing participant 0, task MENU_NAVIGATION, trail 4
+ Processing participant 0, task POINT_N_CLICK, trail 0
+ Processing participant 0, task POINT_N_CLICK, trail 1
+ Processing participant 0, task POINT_N_CLICK, trail 2
+ Processing participant 0, task POINT_N_CLICK, trail 3
+ Processing participant 0, task POINT_N_CLICK, trail 4
+ Processing participant 0, task RIGHT_CLICK, trail 0
+ Processing participant 0, task RIGHT_CLICK, trail 1
+ Processing participant 0, task RIGHT_CLICK, trail 2
+ Processing participant 0, task RIGHT_CLICK, trail 3
+ Processing participant 0, task RIGHT_CLICK, trail 4
+ Processing participant 0, task RIGHT_CLICK, trail 5
+ Processing participant 0, task RIGHT_CLICK, trail 6
+ Processing participant 0, task RIGHT_CLICK, trail 7
+ Processing participant 0, task RIGHT_CLICK, trail 8
+ Processing participant 0, task RIGHT_CLICK, trail 9
+ Processing participant 1, task DRAGGING, trail 0
+ Processing participant 1, task DRAGGING, trail 1
+ Processing participant 1, task DRAGGING, trail 2
+ Processing participant 1, task DRAGGING, trail 3
+ Processing participant 1, task DRAGGING, trail 4
+ Processing participant 1, task LEFT_CLICK, trail 0
+ Processing participant 1, task LEFT_CLICK, trail 1
+ Processing participant 1, task LEFT_CLICK, trail 2
+ Processing participant 1, task LEFT_CLICK, trail 3
+ Processing participant 1, task LEFT_CLICK, trail 4
+ Processing participant 1, task LEFT_CLICK, trail 5
+ Processing participant 1, task LEFT_CLICK, trail 6
+ Processing participant 1, task LEFT_CLICK, trail 7
+ Processing participant 1, task LEFT_CLICK, trail 8
+ Processing participant 1, task LEFT_CLICK, trail 9
+ Processing participant 1, task MENU_NAVIGATION, trail 0
+ Processing participant 1, task MENU_NAVIGATION, trail 1
+ Processing participant 1, task MENU_NAVIGATION, trail 2
+ Processing participant 1, task MENU_NAVIGATION, trail 3
+ Processing participant 1, task MENU_NAVIGATION, trail 4
+ Processing participant 1, task POINT_N_CLICK, trail 0
+ Processing participant 1, task POINT_N_CLICK, trail 1
+ Processing participant 1, task POINT_N_CLICK, trail 2
+ Processing participant 1, task POINT_N_CLICK, trail 3
+ Processing participant 1, task POINT_N_CLICK, trail 4
+ Processing participant 1, task RIGHT_CLICK, trail 0
+ Processing participant 1, task RIGHT_CLICK, trail 1
+ Processing participant 1, task RIGHT_CLICK, trail 2
+ Processing participant 1, task RIGHT_CLICK, trail 3
+ Processing participant 1, task RIGHT_CLICK, trail 4
+ Processing participant 1, task RIGHT_CLICK, trail 5
+ Processing participant 1, task RIGHT_CLICK, trail 6
+ Processing participant 1, task RIGHT_CLICK, trail 7
+ Processing participant 1, task RIGHT_CLICK, trail 8
+ Processing participant 1, task RIGHT_CLICK, trail 9
+ Processing participant 2, task DRAGGING, trail 0
+ Processing participant 2, task DRAGGING, trail 1
+ Processing participant 2, task DRAGGING, trail 2
+ Processing participant 2, task DRAGGING, trail 3
+ Processing participant 2, task DRAGGING, trail 4
+ Processing participant 2, task LEFT_CLICK, trail 0
+ Processing participant 2, task LEFT_CLICK, trail 1
+ Processing participant 2, task LEFT_CLICK, trail 2
+ Processing participant 2, task LEFT_CLICK, trail 3
+ Processing participant 2, task LEFT_CLICK, trail 4
+ Processing participant 2, task LEFT_CLICK, trail 5
+ Processing participant 2, task LEFT_CLICK, trail 6
+ Processing participant 2, task LEFT_CLICK, trail 7
+ Processing participant 2, task LEFT_CLICK, trail 8
+ Processing participant 2, task LEFT_CLICK, trail 9
+ Processing participant 2, task MENU_NAVIGATION, trail 0
+ Processing participant 2, task MENU_NAVIGATION, trail 1
+ Processing participant 2, task MENU_NAVIGATION, trail 2
+ Processing participant 2, task MENU_NAVIGATION, trail 3
+ Processing participant 2, task MENU_NAVIGATION, trail 4
+ Processing participant 2, task POINT_N_CLICK, trail 0
+ Processing participant 2, task POINT_N_CLICK, trail 1
+ Processing participant 2, task POINT_N_CLICK, trail 2
+ Processing participant 2, task POINT_N_CLICK, trail 3
+ Processing participant 2, task POINT_N_CLICK, trail 4
+ Processing participant 2, task RIGHT_CLICK, trail 0
+ Processing participant 2, task RIGHT_CLICK, trail 1
+ Processing participant 2, task RIGHT_CLICK, trail 2
+ Processing participant 2, task RIGHT_CLICK, trail 3
+ Processing participant 2, task RIGHT_CLICK, trail 4
+ Processing participant 2, task RIGHT_CLICK, trail 5
+ Processing participant 2, task RIGHT_CLICK, trail 6
+ Processing participant 2, task RIGHT_CLICK, trail 7
+ Processing participant 2, task RIGHT_CLICK, trail 8
+ Processing participant 2, task RIGHT_CLICK, trail 9
+ Processing participant 3, task DRAGGING, trail 0
+ Processing participant 3, task DRAGGING, trail 1
